index;title;score;type;categories;most relevant words
548;Charlie Chaplin;27;person;Charlie Chaplin, Filmschauspieler, Theaterschauspieler, Stummfilmschauspieler, Filmregisseur, Drehbuchautor, Filmproduzent, Komiker, Filmkomponist, Komponist (Vereinigtes Königreich), Komponist (Vereinigte Staaten), Filmeditor, Oscarpreisträger, Knight Commander des Order of the British Empire, Mitglied der Ehrenlegion (Kommandeur), Mitglied der Akademie der Künste (DDR), Ehrendoktor der University of Oxford, Mitglied der American Academy of Arts and Letters, Wikipedia:Artikel mit Video, Darstellender Künstler (London), Person als Namensgeber für einen Asteroiden, Brite, Geboren 1889, Gestorben 1977, Mann;chaplin, chaplins, film, charlie, kategorie, isbn, charles, filme, tramp, große, new, filmen, films, ersten, jahre, ende, hollywood, regie, diktator, rolle
566;Catherine Zeta-Jones;6;person;Filmschauspieler, Künstler (Vereinigtes Königreich), Theaterschauspieler, Oscarpreisträger, Träger des Tony Award, Commander des Order of the British Empire, Waliser, Brite, Geboren 1969, Frau;kategorie, award, chicago, zeta-jones, jones, film, fernsehserie, zorro, beste, catherine, schauspielerin, abenteuer, indiana, traffic, nebendarstellerin, performance, geteilt, kollegen, critics, rolle
569;Catherine Oxenberg;9;person;Filmschauspieler, Drehbuchautor, Filmproduzent, Serbe, US-Amerikaner, Geboren 1961, Frau;kategorie, oxenberg, catherine, dien, diana, time, september, new, york, us-amerikanischen, serbischen, prinzessin, denver-clan, rolle, spielte, biss, schlangenfrau, sehen, neben, casper
570;Charlie Parker;12;person;Komponist (Jazz), Jazz-Saxophonist, Grammy-Preisträger, Charlie Parker, Person als Namensgeber für einen Asteroiden, US-Amerikaner, Geboren 1920, Gestorben 1955, Mann;parker, charlie, bird, jazz, new, parkers, york, gillespie, isbn, city, dizzy, schon, kansas, davis, band, miles, spielte, aufnahmen, kategorie, oft
571;Chick Corea;12;person;Jazz-Pianist, Komponist (Jazz), Fusion-Musiker, Person (Scientology), Grammy-Preisträger, US-Amerikaner, Geboren 1941, Mann;corea, band, chick, album, gruppe, nahm, ref, return, forever, beste, bestes, kategorie, jazz, zusammen, gary, elektric, grammy, now, jahr, alben
577;Carl Schmitt;18;person;Rechtswissenschaftler (20. Jahrhundert), Philosoph (20. Jahrhundert), Rechtsphilosoph, Politischer Philosoph, Hochschullehrer (Technische Universität München), Hochschullehrer (Universität Greifswald), Hochschullehrer (Rheinische Friedrich-Wilhelms-Universität Bonn), Hochschullehrer (Handelshochschule Berlin), Hochschullehrer (Humboldt-Universität zu Berlin), Hochschullehrer (Universität zu Köln), Wissenschaftliches Mitglied der Kaiser-Wilhelm-Gesellschaft, Mitglied der Akademie für Deutsches Recht, Preußischer Staatsrat (ab 1933), NSDAP-Mitglied, Person (Nürnberger Prozesse), Ehrenringträger der Stadt Plettenberg, Deutscher, Geboren 1888, Gestorben 1985, Mann, Person im Ersten Weltkrieg (Deutsches Reich), Carl Schmitt;schmitt, carl, schmitts, isbn, verfassung, berlin, ordnung, politischen, sei, staat, etwa, politische, immer, hrsg, feind, kategorie, politischen, mehr, frage, begriff
579;Caligula;12;person;Caligula, Kaiser (Rom), Augur, Julier, Geboren 12, Gestorben 41, Mann, Herrscher (1. Jahrhundert);caligula, caligulas, kaiser, kaisers, tiberius, isbn, augustus, allerdings, tod, gaius, senat, ließ, sowie, quellen, rom, zeit, bd., herrschaft, sueton, jedoch
581;Commodus;9;person;Kaiser (Rom), Herrscher (2. Jahrhundert), Geboren 161, Gestorben 192, Mann, Pontifex;commodus, kaiser, vaters, rom, augustus, mark, quellen, isbn, kategorie, aurelius, vater, kaisers, römischen, senat, lucius, imperator, caesar, aurel, schließlich, kam
582;Caracalla;18;person;Kaiser (Rom), Septimier, Severer, Herrscher (3. Jahrhundert), Pontifex, Römer, Geboren 188, Gestorben 217, Mann;caracalla, caracallas, kaiser, geta, severus, cassius, soldaten, dio, septimius, rom, kaisers, römischen, vater, tod, schon, sei, typus, bruder, getas, beiden
584;Charles Babbage;12;person;Charles Babbage, Mathematiker (19. Jahrhundert), Ökonom (19. Jahrhundert), Erfinder, Logiker, Kryptoanalytiker, Mitglied der Bayerischen Akademie der Wissenschaften, Mitglied der Royal Society, Mitglied der Royal Society of Edinburgh, Mitglied der Royal Astronomical Society, Mitglied der Ungarischen Akademie der Wissenschaften, Korrespondierendes Mitglied der Russischen Akademie der Wissenschaften, Lucasischer Professor für Mathematik, Mitglied der American Academy of Arts and Sciences, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Ada Lovelace, Brite, Geboren 1791, Gestorben 1871, Mann;babbage, kategorie, charles, mitglied, london, society, royal, science, cambridge, mathematik, deren, akademie, wissenschaften, hrsg, engine, engine, museum, england, mathematiker, rechenmaschine
585;Clyde Tombaugh;6;person;Astronom (20. Jahrhundert), Hochschullehrer (Las Cruces), Hochschullehrer (Northern Arizona University), Hochschullehrer (University of California, Los Angeles), US-Amerikaner, Geboren 1906, Gestorben 1997, Mann, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Marskrater;tombaugh, kategorie, pluto, university, clyde, new, arizona, februar, las, cruces, mexico, lernte, lowell, später, benannt, konnte, state, namensgeber, hochschullehrer, william
591;Clara Zetkin;12;person;Mitglied der Verfassunggebenden Landesversammlung (Württemberg), Träger des Rotbannerordens, Frauenrechtler (Deutschland), Politische Literatur, Reichstagsabgeordneter (Weimarer Republik), Landtagsabgeordneter (Volksstaat Württemberg), Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus, Mitglied der Zentrale der KPD, Mitglied des Zentralkomitees der KPD, EKKI-Mitglied, USPD-Mitglied, SPD-Mitglied, Mitglied der Roten Hilfe, Marxistischer Theoretiker, Marxistischer Theoretiker (Deutschland), Person (Stuttgart), Clara Zetkin, Person der Friedensbewegung, Träger des Leninordens, Namensgeber für ein Schiff, Deutscher, Geboren 1857, Gestorben 1933, Frau;zetkin, clara, berlin, kategorie, kpd, verlag, partei, internationalen, internationale, isbn, stuttgart, dietz, zeit, spd, arbeiterbewegung, deutschlands, mitglied, frauen, karl, ref
593;Carus (Kaiser);6;person;Kaiser (Rom), Prätorianerpräfekt, Herrscher (3. Jahrhundert), Geboren im 3. Jahrhundert, Gestorben 283, Mann;carus, kategorie, kaiser, jahrhundert, probus, carinus, historia, weitere, erhoben, sohn, numerianus, bekannt, reiches, osten, aurelius, wenige, quellen, werk, kaisergeschichte, zeit
595;Carl von Linné;15;person;Carl von Linné, Botaniker (18. Jahrhundert), Mediziner (18. Jahrhundert), Ichthyologe, Arachnologe, Hochschullehrer (Universität Uppsala), Rektor (Universität Uppsala), Samische Studien, Adliger, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Mitglied der Königlichen Gesellschaft der Wissenschaften in Uppsala, Mitglied der Leopoldina (18. Jahrhundert), Mitglied der Preußischen Akademie der Wissenschaften, Mitglied der Royal Society, Mitglied der Königlich Dänischen Akademie der Wissenschaften, Mitglied der Kongelige Norske Videnskabers Selskab, Mitglied der Académie des sciences, Mitglied der Russischen Akademie der Wissenschaften, Person als Namensgeber für einen Asteroiden, Namensgeber für eine Pflanzengattung, Träger des Nordstern-Ordens, Gärtner, Schwede, Geboren 1707, Gestorben 1778, Mann;linné, pflanzen, linnés, stockholm, carl, uppsala, mai, kategorie, linnaeus, digitalisierte, plantarum, band, alt, fassung, lars, reise, systema, naturae, universität, auflage
598;Charles Messier;6;person;Messier, Astronom (18. Jahrhundert), Mitglied der Ehrenlegion, Mitglied der Académie des sciences, Mitglied der Preußischen Akademie der Wissenschaften, Ehrenmitglied der Russischen Akademie der Wissenschaften, Mitglied der Royal Society, Person als Namensgeber für einen Asteroiden, Franzose, Geboren 1730, Gestorben 1817, Mann, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Namensgeber für einen Mondkrater;messier, kategorie, charles, später, kometen, januar, paris, co-entdeckung, delisle, komet, mitglied, april, astronom, marine, bereits, jahren, jahre, -fuß-teleskop, biographie, badonviller
599;Christian Morgenstern;12;person;Autor, Übersetzer aus dem Französischen, Übersetzer aus dem Norwegischen, Übersetzer ins Deutsche, Literatur (19. Jahrhundert), Literatur (20. Jahrhundert), Literatur (Deutsch), Kinder- und Jugendliteratur, Lyrik, Aphoristiker, Verlagslektor, Theosoph (Theosophische Gesellschaft), Anthroposoph, Schriftsteller (Berlin), Person als Namensgeber für einen Asteroiden, Deutscher, Geboren 1871, Gestorben 1914, Mann;morgenstern, isbn, christian, münchen, berlin, margareta, gedichte, piper, verlag, hrsg, kategorie, galgenlieder, morgensterns, hrsg, band, bruno, cassirer, stuttgart, vater, jedoch
601;Charles Darwin;12;person;Charles Darwin, Autor, Evolutionsbiologe, Evolutionspsychologe, Zoologe, Botaniker (19. Jahrhundert), Mitglied der Accademia dei Lincei, Mitglied der Leopoldina (19. Jahrhundert), Träger der Copley-Medaille, Träger des Pour le Mérite (Friedensklasse), Mitglied der Royal Society, Mitglied der Royal Society of Edinburgh, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Mitglied der American Philosophical Society, Mitglied der Ungarischen Akademie der Wissenschaften, Mitglied der Königlich Niederländischen Akademie der Wissenschaften, Korrespondierendes Mitglied der Académie des sciences, Mitglied der Preußischen Akademie der Wissenschaften, Mitglied der Bayerischen Akademie der Wissenschaften, Mitglied der American Academy of Arts and Sciences, Mitglied der Russischen Akademie der Wissenschaften, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Marskrater, Namensgeber für einen Mondkrater, Weltumsegler, Person (Unitarismus), Brite, Geboren 1809, Gestorben 1882, Mann;darwin, charles, darwins, beagle, london, arten, kategorie, digitalisierte, john, hms, fassung, society, entstehung, später, menschen, isbn, buch, theorie, pageseq, pflanzen
603;Christiane von Goethe;6;person;Ehepartner einer berühmten Person, Familienmitglied (Johann Wolfgang von Goethe), Person (Weimar), Brief (Literatur), Deutscher, Geboren 1765, Gestorben 1816, Frau;goethe, christiane, vulpius, goethes, weimar, isbn, kategorie, wolfgang, august, verlag, weimarer, frau, johann, haus, christianes, frankfurt, juni, familie, später, bad
606;Charles Lindbergh;24;person;Charles Lindbergh, Luftfahrtpionier, Pulitzer-Preisträger, Militärperson (United States Army Air Forces), Brigadegeneral (United States Air Force), Pilot (Vereinigte Staaten), Träger der Medal of Honor, Träger der Goldenen Ehrenmedaille des Kongresses, Träger des Distinguished Flying Cross (Vereinigte Staaten), Träger des Verdienstorden vom Deutschen Adler, Namensgeber für einen Mondkrater, Ehrenbürger von London, Freimaurer (20. Jahrhundert), Freimaurer (Vereinigte Staaten), Verkehrsgeschichte (Atlantischer Ozean), Person (Antisemitismus), US-Amerikaner, Geboren 1902, Gestorben 1974, Mann, Wikipedia:Artikel mit Video;lindbergh, kategorie, charles, isbn, usa, st., louis, york, sohn, lindberghs, spirit, new, flug, august, erste, gelang, paris, flugzeug, kind, geboren
608;Carl Barks;12;person;Autor, Disney-Zeichner, Comiczeichner (Vereinigte Staaten), Künstler (Vereinigte Staaten), Comicautor, Träger des Disney Legend Award, Kinder- und Jugendliteratur, Person als Namensgeber für einen Asteroiden, US-Amerikaner, Geboren 1901, Gestorben 2000, Mann, Person (Klamath County);barks, carl, donald, duck, kategorie, disney, geschichten, isbn, comics, jahre, jahren, farm, frau, san, comic, dagobert, ducks, fans, oregon, vater
